,xgb_importance,boruta_score,shap_mean_abs,avg_norm_rank,xgb_importance_norm,boruta_score_norm,shap_mean_abs_norm
merval_cierre,0.20749013721942902,1.0,210253.325,1.0,1.0,1.0,1.0
merval_maximo,0.1908480279147625,1.0,58609.88291015625,0.7328505542816287,0.9197932512470853,1.0,0.2787584115978011
emae_tendencia_ciclo_ma_5,0.14506884440779685,1.0,14835.413818359375,0.589906634656762,0.6991601931150145,1.0,0.07055971085527125
badlar_ma_3,0.09459158750250936,1.0,17330.38857421875,0.5127703231691102,0.455884741174348,1.0,0.08242622833298235
emae_desestacionalizado_lag1,0.09115282313650823,1.0,3824.7009552001955,0.48583417095065423,0.43931159503793915,1.0,0.01819091781402361
badlar_ma_5,0.042608053400181235,1.0,24704.87412109375,0.44095009756401254,0.20534977696371917,1.0,0.11750051572831845
tc_mayorista_std20,0.03212070687150117,1.0,1000.9090454101563,0.38652214547037644,0.15480594548709684,1.0,0.004760490924032503
emae_tendencia_ciclo_lag2,0.017021108604967593,1.0,5925.044653320312,0.3700712807214375,0.0820333382254555,1.0,0.028180503938857147
base_monetaria_std20,0.017532985607977024,1.0,1410.4122497558594,0.3637361631011071,0.0845003326082685,1.0,0.006708156695052786
emae_desestacionalizado_lag2,0.010458083124831319,1.0,2182.2965698242188,0.3535940546727867,0.050402796320730574,1.0,0.010379367697629602
tasa_prestamos_personales_ma_3,0.00714393856942479,1.0,2631.4301025390623,0.34898192602501604,0.03443025613246278,1.0,0.012515521942585508
emae_desestacionalizado_hp_ema20,0.006408626961638219,1.0,2455.576629638672,0.3475218502285551,0.03088641728961239,1.0,0.011679133396052937
tasa_prestamos_personales_ma_5,0.008424199101864361,1.0,267.41663360595703,0.34729078598373736,0.0406004796890921,1.0,0.001271878262120026
badlar_std20,0.001503726864757482,1.0,1102.3557220458983,0.3374967364077183,0.007247220927745743,1.0,0.005242988295409351
m2_std20,0.0018214397117844784,1.0,562.5726135253906,0.33715137648570465,0.00877843995957376,1.0,0.0026756894975401247
emae_desestacionalizado_hp_rm20,0.0017263299254409504,1.0,212.4989227294922,0.33644357939816194,0.008320057755879202,1.0,0.0010106804386065817
m2_transaccional_std20,0.0013713602005736903,1.0,473.6894287109375,0.33628740838886473,0.006609278970804394,1.0,0.0022529461957899477
merval_apertura_std20,0.0006657434365479276,1.0,628.5282348632812,0.3353993133605316,0.003208554611171121,1.0,0.002989385470423743
inflacion_hp_ema20,0.0005120780260767788,1.0,616.4658416748047,0.3351333259748281,0.002467963214729749,1.0,0.0029320147097545526
base_monetaria_spec_centroid,0.0006988446519244462,1.0,337.1368041992188,0.3349905217282436,0.003368086123464222,1.0,0.0016034790612667778
prestamos_privados_ars_std20,0.00014894208652549423,1.0,694.6690061569213,0.33467392978498195,0.0007178273074636897,1.0,0.003303962047482109
tc_minorista_std20,0.00026546106855676046,1.0,459.4151129364967,0.3344881488077864,0.0012793912622267192,1.0,0.0021850551611323943
merval_cierre_std20,0.00033650717814452945,1.0,272.81036071777345,0.3343064433859459,0.0016217984269231063,1.0,0.001297531730914474
inflacion_hp_rm20,0.0004928665643092245,1.0,86.9587905883789,0.3342629880055487,0.002375373455886236,1.0,0.0004135905607598781
badlar_spec_centroid,0.0001383505979902111,1.0,322.0365188598633,0.33406614704669096,0.0006667815629419526,1.0,0.0015316595771308885
emae_original_lag1,0.00018753716168689037,1.0,231.48351440429687,0.33400160361489956,0.0009038365109786515,1.0,0.0011009743337200345
tasa_prestamos_personales_std20,0.00019027730595553294,1.0,165.64530868530272,0.33390162648746774,0.0009170426532337158,1.0,0.0007878368091696182
tc_minorista_pct10,0.00014045437064851284,1.0,183.378955078125,0.3338497005691526,0.0006769207082839643,1.0,0.0008721809991738536
badlar_hp_rm20,0.0001819688941395725,1.0,137.240877532959,0.3338432469307193,0.0008770002110853742,1.0,0.0006527405810726608
emae_original_std20,0.0009491571930993814,0.5,466.3119728088379,0.16893077558171452,0.004574468964255444,0.5,0.0022178577808880683
m1_std20,0.00013852205920557027,0.5,615.4188171386719,0.16786488093572308,0.0006676079213301484,0.5,0.002927034885839127
badlar_hp_ema20,0.0002695974071684759,0.5,414.59874114990237,0.16775707578952168,0.001299326371756003,0.5,0.0019719009968089795
tc_mayorista_pct1,0.00014460129787039478,0.5,512.2353794574738,0.16771106134598843,0.0006969068496854537,0.5,0.002436277188279775
merval_maximo_diff1,0.00010889741024584509,0.5,186.50611305236816,0.16713729534274213,0.000524831742391118,0.5,0.0008870542858352807
inflacion_lag2,0.08277760597370616,0.0,43.85268096923828,0.13305191826557097,0.3989471841071924,0.0,0.00020857068952054991
emae_desestacionalizado_diff10,0.007128847374542602,0.0,99.4688006401062,0.011610204762501406,0.03435752402536398,0.0,0.0004730902621402358
emae_desestacionalizado_std20,0.0049006226006895305,0.0,603.4881782531738,0.008829623904397984,0.02361858094250971,0.0,0.0028702907706842393
emae_original_lag2,0.0013066680047586487,0.0,38.954044342041016,0.002160922162256824,0.0062974945328451715,0.0,0.00018527195392529946
merval_cierre_diff1,0.0002469742838002276,0.0,985.1339134216308,0.0019585852816724754,0.0011902940887211545,0.0,0.004685461756296271
m1_hp_ema20,0.0008039027770792018,0.0,397.2644666463137,0.0019212902313173593,0.003874414407606482,0.0,0.001889456286345596
merval_maximo_diff10,0.000549536351536517,0.0,520.4866192579269,0.001708005103885511,0.0026484938460248865,0.0,0.0024755214656316466
badlar_diff10,0.0006254108960092708,0.0,368.4363098144531,0.0015888388101756295,0.003014171682521343,0.0,0.0017523447480055458
