fecha,merval_cierre_ma_3,emae_tendencia_ciclo_ma_5,merval_apertura,emae_desestacionalizado_lag2,badlar_ma_3,emae_tendencia_ciclo_lag3,emae_tendencia_ciclo_hp_ema20,inflacion_lag2,emae_desestacionalizado_lag3,badlar_ma_5,base_monetaria_std20,tasa_prestamos_personales_ma_5,emae_desestacionalizado_hp_ema20,tc_mayorista_std20,emae_desestacionalizado_diff10,tasa_prestamos_personales_ma_3,merval_maximo_hp_rm20,emae_desestacionalizado_hp_rm20,emae_desestacionalizado_std20,emae_original_std20,tasa_prestamos_personales_std20,m1_std20,merval_minimo_spec_centroid,tc_minorista_std20,m2_transaccional_std20,emae_tendencia_ciclo_diff10,inflacion_diff10,merval_maximo_diff10,merval_cierre_hp_rm20,badlar_spec_centroid,badlar_std20,inflacion_hp_ema20,merval_cierre_diff3,merval_minimo_pct1,inflacion_hp_rm20,badlar_hp_ema20,merval_cierre_pct3,merval_cierre_std20,badlar_pct10,merval_apertura_std20,badlar_hp_rm20,tasa_prestamos_personales_spec_centroid,emae_original_lag2,m2_hp_ema20,m2_hp_rm20,tc_mayorista_pct1,inflacion_pct10,emae_tendencia_ciclo_pct10,emae_desestacionalizado_pct10,merval_cierre_diff1,merval_minimo_diff1,merval_cierre_pct1,merval_maximo_diff1,m2_std20,badlar_diff10,m2_transaccional_diff10,m2_pct10,emae_tendencia_ciclo_diff3,tc_mayorista_pct10,m2_spec_centroid,merval_apertura_+1
2023-01-02,202833.37503333332,149.64334192,202085.125,148.762438,68.39583333333333,149.7174516,-0.3352580761904562,5.1,148.762438,68.3625,210527.0717037484,79.812,0.8368606095238249,2.876628326064354,0.9249512000000096,80.21333333333334,26893.70000000001,0.8787036399999977,0.2068253759070011,0.7044995348314099,1.4962861920171031,307038.89791747625,0.0844480121341366,2.8793845742303548,484732.36420002097,-0.3705483999999899,0.9000000000000004,38807.0,27557.78988,0.3147580882903746,0.6300046339637434,0.814285714285715,4494.140699999989,0.037285508235765,0.8549999999999995,-0.6180553262300066,0.0221866913205124,15230.421698208218,-0.0154405086285195,13893.848386046564,-0.6781249999999943,0.1825168843012342,146.180808,669351.2690972574,861979.75,0.0057020267600067,0.1764705882352941,-0.002474984686421,0.0062176394285768,4969.218800000002,7264.0,0.0245897306889857,5181.0,678183.8914003595,-1.0625,856731.3670000006,0.0856299382700176,-0.3705483999999899,0.025856608119781,0.0859788222742523,207054.3438
2023-01-03,202499.9844,149.56923224000002,207054.3438,148.762438,68.375,149.7174516,-0.3033287356008713,5.1,148.762438,68.4375,198567.2448422762,80.542,0.7571595990930007,2.794971801006423,0.9249512000000096,81.85333333333334,23959.149999999998,0.8324560800000143,0.284693972380558,0.9697396667689032,1.576523824247843,293412.2091103221,0.0781726105875609,2.8662649453325173,487386.7352451167,-0.3705483999999899,0.9000000000000004,34463.0,17430.49297999998,0.3160761571905098,0.6295557644294241,0.7367346938775521,-1000.1719000000156,-0.0217730163050201,0.8100000000000005,0.0062832762680926,-0.0050168971077971,15603.588796046675,0.0018315018315018,15241.478902436507,-0.0562500000000056,0.1589825513469352,146.180808,463820.10061180405,627542.25,0.0016279330863366,0.1764705882352941,-0.002474984686421,0.0062176394285768,-8693.859400000016,-4400.0,-0.0419882975669309,-1155.0,664671.0175046931,0.125,589102.4289999995,0.0459787486282714,-0.3705483999999899,0.0258724774334502,0.0809540079731287,198360.4844
2023-01-04,202158.474,149.49512256,198360.4844,149.6873892,68.5,149.7174516,-0.2744402845912645,6.0,148.762438,68.5875,202285.75343333464,81.73800000000001,0.6850491610841516,2.743139720523879,0.9249512000000096,83.82333333333334,16834.54999999999,0.7862085200000308,0.338853604632218,1.1542210707581868,1.7283027877995747,287180.8564269064,0.0790967158817731,2.8749616015742228,489511.3362562464,-0.3705483999999899,0.9000000000000004,20787.0,18300.936755,0.3026061162528482,0.6593442091838014,0.6665694849368329,-1024.5311999999976,-0.0025393934795254,0.7650000000000006,0.9104467737663668,-0.0050698001646583,15716.626269665629,0.0183486238532109,15612.444971438255,0.9156250000000056,0.1707241550088218,143.0301903,374266.6148392502,502017.44999999925,0.0012329765174017,0.1764705882352941,-0.002474984686421,0.0062176394285768,2700.109400000016,-502.0,0.0136121335263286,-5615.0,638620.4578385701,1.25,574635.2799999993,0.0428341403682792,-0.3705483999999899,0.0252510760401722,0.0793503387075313,201379.75
2023-01-05,203022.3646,149.42101288,201379.75,149.6873892,68.79166666666667,149.3469032,-0.2483031146301755,6.0,149.6873892,68.625,198144.49492292287,82.812,0.6198063838380392,2.664157613481928,0.9249512000000096,83.98666666666666,23371.79999999999,0.739960960000019,0.379591963174076,1.2929862223585389,1.8130277090227285,271707.2059565693,0.074802618642483,2.8057581300266103,490487.8454423206,-0.3705483999999899,0.9000000000000004,27438.0,24808.56090000001,0.3023748798731663,0.6600064792345459,0.6030866768476111,2591.671800000011,0.0212847963566837,0.7200000000000006,0.145166128645755,0.0125168675645046,16406.94476680272,-0.0108108108108108,15742.402343538191,0.1624999999999943,0.1265199190177568,143.0301903,307995.0800926555,396342.44999999925,0.0016232857542681,0.1764705882352941,-0.002474984686421,0.0062176394285768,8585.421800000011,4197.0,0.0427006686777227,8613.0,603815.0923176535,-0.75,419228.4389999993,0.0296716748361665,0.0,0.0249155163525975,0.0748857371124313,213794.25
2023-01-06,206784.2083333333,149.3469032,213794.25,149.6873892,69.0,149.3469032,-0.2246551989510976,6.0,149.6873892,68.625,191441.99953688635,83.322,0.5607772044249089,2.55642117236702,0.9249512000000096,83.24333333333334,27357.45000000001,0.6937134000000071,0.410920353976446,1.3996986441322128,1.8009274657359462,250282.50769057628,0.0958352777478495,2.704762806995312,481706.4165968362,-0.3705483999999899,0.9000000000000004,27920.0,22885.15465000001,0.2797098612545038,0.6703605176949295,0.5456498504811718,11285.531200000029,0.0410467772370641,0.6749999999999998,0.47062649734616,0.0568940494077561,16966.623684091017,0.0082191780821918,16778.23932783606,0.5062499999999943,0.1394679638646221,143.0301903,105175.92960764097,150862.25,0.0016765396222198,0.1764705882352941,-0.002474984686421,0.0062176394285768,0.0,8266.0,0.0,6228.0,569135.5555706599,0.5625,394035.3930000011,0.0018865448632026,0.0,0.0251072347726624,0.0748467183656964,213794.25
2023-01-09,211672.24476666667,149.3469032,213794.25,149.6873892,68.83333333333333,149.3469032,-0.2032594657176503,6.0,149.6873892,68.85,206003.7903875789,82.922,0.507369851622542,2.593407634348056,0.9249512000000096,82.18666666666667,26798.899999999998,0.6474658399999953,0.4348772261105224,1.4813018091232537,1.7288580806873322,236787.51001391225,0.0974596879281479,2.778840348816464,449813.3634817072,-0.3705483999999899,0.9000000000000004,25472.0,26500.930435000017,0.2581257800445282,0.6345973650981194,0.4936831980543941,14664.109300000013,0.0197857340469171,0.6299999999999999,0.3127096880751026,0.0729337809207246,17434.362896526858,0.0100824931255729,17605.12485651936,0.4124999999999943,0.1499960436738646,143.0301903,-166993.77797403932,-184269.4000000004,0.0050212006248604,0.1764705882352941,-0.002474984686421,0.0062176394285768,6078.6875,4148.0,0.0289950060944539,1787.0,514894.0030052583,0.6875,66726.96600000001,-0.0335127639578207,0.0,0.0249786628733996,0.068024292016183,215724.7031
2023-01-10,213727.23436666667,149.3469032,215724.7031,149.6873892,68.70833333333333,149.3469032,-0.1839014213635721,6.0,149.6873892,68.825,205870.02584857796,82.574,0.4590489133727828,2.6054782367360665,0.9249512000000096,81.45666666666666,24888.649999999998,0.6012182800000119,0.4526345677682088,1.5417878054997751,1.6889520263667686,220504.9078387792,0.1038293176878148,2.843665351545225,400492.195289192,-0.3705483999999899,0.9000000000000004,22423.0,24071.681264999992,0.2634024718255537,0.482538432475378,0.4466657506206424,6164.968799999973,0.000439675575554,0.5850000000000009,-0.2825483774558677,0.0294065631648472,17460.791479480496,0.0036764705882352,17991.203454319748,-0.2906250000000057,0.1406133971707426,143.0301903,-108809.18007175066,-180283.4000000004,0.001443321860775,0.1764705882352941,-0.002474984686421,0.0062176394285768,86.28129999997327,94.0,0.000399960221338,529.0,460813.98150531296,0.25,-34330.520000001416,-0.0325294142506001,0.0,0.02459249162265,0.0703510108274415,215810.9844
2023-01-11,218721.0677,149.3469032,215810.9844,149.6873892,68.77083333333333,149.3469032,-0.1663870002813325,6.0,149.6873892,68.7875,199054.4169706505,81.822,0.4153299692420376,2.5973534607365205,0.9249512000000096,81.32333333333334,29415.0,0.55497072,0.4649033101189115,1.5835782446136093,1.690374841644051,203692.32599876163,0.1058670254390335,2.857483756918403,346755.7638452344,-0.3705483999999899,0.9000000000000004,22388.0,29867.671059999997,0.3082162565879987,0.4653274172699972,0.4041261553234383,14981.5,0.0089906867145421,0.5400000000000009,0.592575277539936,0.0714609335985874,17673.012853192027,0.0081967213114753,17950.14662439366,0.5750000000000028,0.1414349088023489,143.0301903,8119.170411273837,-107158.30000000076,0.0016075388026606,0.1764705882352941,-0.002474984686421,0.0062176394285768,8816.531200000027,1923.0,0.0408530234200628,7433.0,402974.31989005534,0.5625,-198869.3359999992,-0.0405337376432168,0.0,0.0244358770835695,0.0749975214926969,224627.5156
2023-01-12,224864.0677,149.3469032,224627.5156,149.6873892,68.70833333333333,149.3469032,-0.1505406193021485,6.0,149.6873892,68.8,198205.3403798743,80.99000000000001,0.3757747340761455,2.567766334261815,0.9249512000000096,80.76666666666667,34852.100000000006,0.5087231600000166,0.4721115432310513,1.608131309498371,1.723705005901072,188450.09781887516,0.1222027595653571,2.806240414354721,294695.2015459596,-0.3705483999999899,0.9000000000000004,28994.0,35922.83356,0.2930473200014765,0.4637341286828821,0.3656379500545395,18429.0,0.0348962749813495,0.4950000000000001,0.0837585844408863,0.0854283247823368,18272.338726148737,0.0036529680365295,18077.185938585582,0.0625,0.1374760542508776,143.0301903,122451.53513400815,-19819.5,0.0015496153633294,0.1764705882352941,-0.002474984686421,0.0062176394285768,9526.1875,7531.0,0.0424088183255497,8918.0,359041.4636646772,0.25,-469989.9210000001,-0.0480860230974123,0.0,0.0239334615819848,0.0796506235889319,234153.7031
2023-01-13,233645.23956666669,149.3469032,234153.7031,149.6873892,68.6875,149.3469032,-0.1362034174638324,6.0,149.6873892,68.6375,189648.51291322877,80.824,0.3399866641641438,2.516028407504238,0.9249512000000096,80.32666666666667,39814.5,0.4624756000000332,0.4744899539675898,1.6162327779481798,1.732639832588896,160641.54248232738,0.1350913500766677,2.737590181162959,255540.57634483103,-0.3705483999999899,0.9000000000000004,40760.0,40071.383585,0.2922076106671485,0.4578783128104138,0.3308152881445831,26343.515600000013,0.0394820499503003,0.4500000000000002,-0.3765993759820532,0.1220675382823563,19027.897940944396,-0.0117753623188405,18574.68604572923,-0.390625,0.1363652850839564,143.0301903,85571.9603593424,-78287.05000000075,0.0017129911034978,0.1764705882352941,-0.002474984686421,0.0062176394285768,8000.796899999987,8818.0,0.0341689958094879,8841.0,324262.88454285066,-0.8125,-481657.8149999995,-0.0506552391421253,0.0,0.0234291198554734,0.0863030814396673,250556.0313
